auc,f1,accuracy,model,split,seed,dataset
0.7382382382382382,0.7142857142857143,0.6875,XGBoost,random,123,promise_velocity
0.7515015015015014,0.7285714285714285,0.703125,LightGBM,random,123,promise_velocity
0.6604104104104105,0.7012987012987013,0.640625,SimpleMLP,random,123,promise_velocity
0.6591591591591591,0.6802721088435374,0.6328125,ResNet,random,123,promise_velocity
0.7042042042042042,0.72,0.671875,FTTransformer,random,123,promise_velocity
0.7251655629139073,0.5990338164251208,0.6375545851528385,LogReg,temporal,123,promise_velocity
0.6101205637629479,0.5872340425531914,0.5764192139737991,RandomForest,temporal,123,promise_velocity
0.6266768551536763,0.5833333333333334,0.5633187772925764,XGBoost,temporal,123,promise_velocity
0.6508745118016641,0.5702127659574469,0.5589519650655022,LightGBM,temporal,123,promise_velocity
0.7032603158430973,0.5373134328358209,0.4585152838427948,SimpleMLP,temporal,123,promise_velocity
0.6811852606554594,0.5440613026819924,0.48034934497816595,ResNet,temporal,123,promise_velocity
0.6484971981660723,0.5274725274725275,0.4366812227074236,FTTransformer,temporal,123,promise_velocity
0.6213713713713713,0.5669291338582677,0.5703125,LogReg,random,456,promise_velocity
0.713963963963964,0.7114093959731543,0.6640625,RandomForest,random,456,promise_velocity
0.7264764764764765,0.6712328767123288,0.625,XGBoost,random,456,promise_velocity
0.728978978978979,0.684931506849315,0.640625,LightGBM,random,456,promise_velocity
0.7067067067067068,0.6928104575163399,0.6328125,SimpleMLP,random,456,promise_velocity
0.6774274274274275,0.6577181208053692,0.6015625,ResNet,random,456,promise_velocity
0.704954954954955,0.684931506849315,0.640625,FTTransformer,random,456,promise_velocity
0.7251655629139073,0.5990338164251208,0.6375545851528385,LogReg,temporal,456,promise_velocity
0.6175072168449652,0.5836909871244635,0.5764192139737991,RandomForest,temporal,456,promise_velocity
0.6365257259296995,0.5785123966942148,0.5545851528384279,XGBoost,temporal,456,promise_velocity
0.6548650025471217,0.5822784810126582,0.5676855895196506,LightGBM,temporal,456,promise_velocity
0.6766004415011038,0.5433962264150943,0.47161572052401746,SimpleMLP,temporal,456,promise_velocity
0.7125148582102224,0.5474452554744526,0.4585152838427948,ResNet,temporal,456,promise_velocity
0.6644591611479029,0.5234899328859061,0.3799126637554585,FTTransformer,temporal,456,promise_velocity
